"","ppm","intensity"
"1",0.700052,0.156677399883115
"2",0.700365,0.144710005497878
"3",0.700679,0.132026690362202
"4",0.700993,0.120760079602707
"5",0.701306,0.110137210307411
"6",0.70162,0.10300546220854
"7",0.701934,0.0982181959397487
"8",0.702247,0.0967043574753585
"9",0.702561,0.0952754794149259
"10",0.702779040022526,0.0951732434828235
"11",0.702875,0.0951282491848604
"12",0.703189,0.0930462600846415
"13",0.703488354830323,0.0900997484230609
"14",0.703502,0.0899654407470031
"15",0.703604040749615,0.0881214053645637
"16",0.703816,0.0842909713583604
"17",0.70413,0.0783754863028933
"18",0.704443,0.0706206726032131
"19",0.704448274704076,0.0704982249379054
"20",0.704757,0.0633314358323645
"21",0.705071,0.0553448347357445
"22",0.705384,0.0481252958162945
"23",0.705698,0.0416425441007312
"24",0.706012,0.0393760583599533
"25",0.706325,0.0381501717068437
"26",0.706639,0.036044114170382
"27",0.706953,0.0367038298691818
"28",0.707267,0.0407602501974711
"29",0.70758,0.0442333161391485
"30",0.707894,0.0505186902811953
"31",0.708208,0.0616605177833365
"32",0.708521,0.0802558898687165
"33",0.708835,0.104870627784053
"34",0.709149,0.13550588460141
"35",0.709462,0.163326148689823
"36",0.709776,0.183297850199969
"37",0.709827707155829,0.184641666150949
"38",0.71009,0.191458388172701
"39",0.710404,0.185602947968556
"40",0.710717,0.164861933831765
"41",0.711031,0.136984727023335
"42",0.711345,0.105536941538365
"43",0.711658,0.0785112535076752
"44",0.711972,0.0567981796417518
"45",0.712286,0.043801522777003
"46",0.712599,0.0350429812432423
"47",0.712913,0.0290115376976373
"48",0.713227,0.0224546847510707
"49",0.713541,0.0187657475391124
"50",0.713854,0.0164569902365318
"51",0.714057901037778,0.0148750669126634
"52",0.714168,0.0140208872666441
"53",0.714195737188306,0.0137851885833354
"54",0.714482,0.0113526504668957
"55",0.714795,0.0106023484764622
"56",0.715109,0.00848720681072103
"57",0.715423,0.00654032232015095
"58",0.715736,0.00406903737864607
"59",0.71605,0.00273682768237602
"60",0.716364,0.00156350346786051
"61",0.716677,0.000688736760053603
"62",0.716991,0
"63",0.717305,0
"64",0.717619,0
"65",0.717932,0
"66",0.718246,0
"67",0.71856,0
"68",0.718873,0
"69",0.719187,0
"70",0.719501,0
"71",0.719814,0.000312399032061614
"72",0.720128,0.00113267720151732
"73",0.720442,0.00222684491886111
"74",0.720756,0.00165549857408289
"75",0.721069,0.00321707116001143
"76",0.721383,0.00240765223842342
"77",0.721697,0.00156822469852034
"78",0.72201,0
"79",0.722324,0
"80",0.722638,0
"81",0.722951,0
"82",0.723265,0
"83",0.723579,0.00113197016098912
"84",0.723893,0.00184328111684957
"85",0.724189177903327,0.000630652110537478
"86",0.724206,0.000561778092107802
"87",0.72452,0
"88",0.724834,0
"89",0.725147,0
"90",0.725461,0
"91",0.725775,0
"92",0.726088,0
"93",0.726402,0
"94",0.726716,0
"95",0.727029,0
"96",0.727343,0
"97",0.727657,0
"98",0.727706118032779,0
"99",0.727971,0
"100",0.728284,0
"101",0.728598,0
"102",0.728912,0
"103",0.729225,0
"104",0.729539,0
"105",0.729825300362339,0
"106",0.729853,0
"107",0.730166,0
"108",0.730179505373372,0
"109",0.73048,0
"110",0.730794,0
"111",0.731108,0
"112",0.731421,0
"113",0.73144869969119,0
"114",0.731735,0
"115",0.732049,0
"116",0.732359131031015,0
"117",0.732362,0
"118",0.732676,0
"119",0.73299,0
"120",0.733303,0.00266172963639566
"121",0.733617,0.00339912194478829
"122",0.733931,0.00142272785182036
"123",0.734245,0.000990808291725682
"124",0.734558,0.000749510108450518
"125",0.734872,0.00022853014910344
"126",0.735186,0
"127",0.735499,0
"128",0.735813,0
"129",0.736127,0
"130",0.736388767242463,0
"131",0.73644,0
"132",0.736754,0
"133",0.737068,0
"134",0.737381,0
"135",0.737695,0
