"","ppm","intensity"
"1",0.700268,0.020546996586219
"2",0.700582,0.0277195290179583
"3",0.700895,0.0257853747634764
"4",0.701209,0.0168507414743418
"5",0.701523,0.010091104276484
"6",0.701837,0.00896220046145574
"7",0.70215,0.00937591651056458
"8",0.702464,0.0095902028303969
"9",0.702672614374521,0.0122024679376663
"10",0.702778,0.0135221046735314
"11",0.703091,0.0221331576444161
"12",0.703405,0.0290712480130486
"13",0.703719,0.0291581990410785
"14",0.704032,0.0255018807679657
"15",0.704346,0.023491963731127
"16",0.70466,0.0228270426373066
"17",0.704728953139058,0.0224197232067519
"18",0.704974,0.0209721843532355
"19",0.705103549811775,0.020531756941816
"20",0.705287,0.0199080857035685
"21",0.705601,0.0226774476743955
"22",0.705915,0.0266849956624168
"23",0.706228,0.0279958813877768
"24",0.706542,0.0297040954689829
"25",0.706856,0.0371453021625674
"26",0.707169,0.0457972316569556
"27",0.707483,0.0442698857975471
"28",0.707797,0.0315208685647185
"29",0.70811,0.021249127027498
"30",0.708424,0.0240940100108037
"31",0.708738,0.0333138992511963
"32",0.709052,0.0346613405304183
"33",0.709365,0.0247240383316769
"34",0.709679,0.0125070008250806
"35",0.709993,0.00663418168543282
"36",0.710306,0.00758016030996969
"37",0.71062,0.0103438582704263
"38",0.710934,0.00950120562866347
"39",0.711247,0.00340186800926241
"40",0.711561,0
"41",0.711875,0
"42",0.712189,0.00638966897634067
"43",0.712502,0.0113463398724996
"44",0.712816,0.00659101827390292
"45",0.71313,0
"46",0.713443,0
"47",0.713757,0
"48",0.714071,0
"49",0.714384,0
"50",0.714698,0.00221229171164331
"51",0.715012,0.0089235186709032
"52",0.715326,0.00833758075637279
"53",0.715639,0.000875354740086528
"54",0.715953,0
"55",0.716267,0.00193492597887391
"56",0.71658,0.00537840655182983
"57",0.716894,0.00234444328435529
"58",0.717208,0
"59",0.717521,0.00299271109762743
"60",0.717835,0.00704814700849582
"61",0.718149,0.00580187602881615
"62",0.718462,0.00410954799220699
"63",0.718776,0.00855528498782525
"64",0.71909,0.0148895587450337
"65",0.719404,0.0148269230327375
"66",0.719717,0.00964509893993248
"67",0.720031,0.00686289278051237
"68",0.720345,0.00765484215205809
