"","ppm_norm","HM3.F","HM6.M"
"1",0.700092,0.14012467525361,0.109888639170194
"2",0.700405,0.139809563720015,0.110187052584556
"3",0.700719,0.139471797362414,0.110437654248502
"4",0.701033,0.139215465295765,0.110544750828878
"5",0.701346,0.13902953449368,0.110925631649961
"6",0.70166,0.138898085050214,0.111244905366058
"7",0.701974,0.13869814452633,0.111633947053406
"8",0.702287,0.138469316438659,0.112089000311365
"9",0.702601,0.138257792554726,0.112496238305398
"10",0.702915,0.138057940791643,0.112863274827384
"11",0.703228,0.137961703978563,0.113202359952036
"12",0.703542,0.13785995040105,0.113598166297553
"13",0.703856,0.137738606133372,0.114047707459421
"14",0.704169,0.137722186491782,0.114466189265627
"15",0.704483,0.137672018493944,0.114964226883683
"16",0.704797,0.137630143224401,0.115488158103272
"17",0.70511,0.137623942528906,0.11598067690365
"18",0.705424,0.137627567778423,0.116456458190117
"19",0.705738,0.137614281258799,0.117049961458745
"20",0.705743099248707,0.137660028453797,0.117636644692075
"21",0.706051,0.137701048619774,0.117849046868689
"22",0.706365,0.137712973057935,0.118138996147036
"23",0.706679,0.137740230546663,0.118702624072959
"24",0.706992,0.137714468188092,0.11926867333024
"25",0.707306,0.137666394498663,0.119782373025684
"26",0.707520718775621,0.137739839856997,0.120358086122723
"27",0.70762,0.137969287089861,0.121053428831291
"28",0.707933,0.138162603068408,0.121165761903077
"29",0.708247,0.138239591995369,0.121345094697612
"30",0.708561,0.13826456996058,0.121750810247216
"31",0.708874,0.138300815899523,0.122349026842511
"32",0.709188,0.138269168404754,0.122460152107262
"33",0.709501,0.138238383477062,0.12315284556288
"34",0.709602584933154,0.138310753412473,0.123873697870731
"35",0.709815,0.138324123643509,0.124607899089072
"36",0.709840924468488,0.138271660319176,0.125239069664144
"37",0.710129,0.138111067050124,0.125897907033871
"38",0.710442,0.137957293023835,0.126610006182804
"39",0.710756,0.137900953627303,0.127333727208921
"40",0.71107,0.137808314466171,0.128058341879255
"41",0.711383,0.137634492573266,0.12874353383501
"42",0.711468739167301,0.137432543629742,0.129414564318003
"43",0.711697,0.137157428573267,0.130151894465813
"44",0.712011,0.136909730728508,0.130808779348442
"45",0.712324,0.136610798640522,0.13146523720132
"46",0.712326032465234,0.136090401246202,0.132116055972875
"47",0.712638,0.135538255648701,0.132754366938025
"48",0.712952,0.135067157897534,0.13336446862479
"49",0.713239507718863,0.134586312386406,0.133935185341655
"50",0.713265,0.134009216752495,0.134450262280651
"51",0.713579,0.133282682847379,0.134511891329256
"52",0.713893,0.132527203465193,0.134925570678112
"53",0.714206,0.131803303936468,0.135422797545889
"54",0.71452,0.130994199695428,0.135907028277112
"55",0.714834,0.130137908693733,0.136271145282158
"56",0.715147,0.129253717858087,0.13651401532767
"57",0.715461,0.128918767376842,0.136714434880106
"58",0.715775,0.128362542192327,0.136917858597508
"59",0.716088,0.1274345833922,0.137070600285435
"60",0.716402,0.126536951817224,0.137087067153036
"61",0.716613640388345,0.12570099921068,0.137018673463103
"62",0.716716,0.124872124273855,0.136923677659884
"63",0.717029,0.123922950558989,0.136705996794147
"64",0.717343,0.122890824603529,0.136366037775054
"65",0.717657,0.12196833970026,0.13635730170293
"66",0.71797,0.121109627967322,0.135899790785076
"67",0.718284,0.120262824233294,0.135376110036974
"68",0.718598,0.119435585319901,0.135355348226951
"69",0.718911,0.118637788440042,0.134831391146791
"70",0.719210999103013,0.117896930083182,0.134228943539417
"71",0.719225,0.117126125032433,0.133892717113617
"72",0.719539,0.116286905117676,0.133540245645429
"73",0.719852,0.115520627941649,0.132746821722445
"74",0.720166,0.114876405304299,0.131890032745177
"75",0.720479,0.114236255759748,0.130977125091207
"76",0.720793,0.113670019219183,0.130049568813143
"77",0.721107,0.113049866691128,0.129052894771089
"78",0.72142,0.112408472339598,0.128012784358228
"79",0.721734,0.111834404740987,0.126951716691191
"80",0.722048,0.111293336991945,0.126268817979203
"81",0.722361,0.110675057719927,0.125946377176312
"82",0.722675,0.110216125956467,0.12491778506383
"83",0.722989,0.109744807727243,0.123866447751106
"84",0.723302,0.109210560663644,0.12284630613313
"85",0.723616,0.108690696982594,0.121864380027
"86",0.72393,0.108167840041868,0.120930669464716
"87",0.724243,0.107797257805233,0.120535925676929
"88",0.724557,0.107501679782061,0.120044906568609
"89",0.724871,0.107116994136438,0.119187061063225
"90",0.725184,0.106695635262573,0.118391971409129
"91",0.725498,0.106377470090062,0.117644794985418
"92",0.725812,0.106008453675696,0.116792576829446
"93",0.726125,0.105615255299869,0.115903494751504
"94",0.726439,0.105249492861886,0.115162199116231
"95",0.726753,0.104968706379613,0.11469730826816
"96",0.727066,0.10480741105587,0.114551857739636
"97",0.72738,0.104600084178496,0.114002976547253
"98",0.727694,0.104597261632447,0.113938268549408
"99",0.728007,0.104449646470077,0.113465049877438
"100",0.728321,0.1042358083851,0.112919587811432
"101",0.728635,0.104074519423502,0.112372056897284
"102",0.728948,0.103895535360416,0.11190222304459
"103",0.729262,0.103678879913929,0.111485412180384
"104",0.729576,0.103514367344667,0.111052347636288
"105",0.729753534065394,0.103390015905802,0.110651770939909
"106",0.729889,0.103213073239435,0.110273800090663
"107",0.730203,0.103051512293803,0.109955472993267
"108",0.730244245168418,0.10297508229507,0.109650253384292
"109",0.730517,0.102892287899474,0.109431389621209
"110",0.73083,0.10280528509831,0.109281600628485
"111",0.730860745878145,0.102760437805712,0.109125865019134
"112",0.731144,0.10274554646926,0.109084514222929
"113",0.731458,0.102741212587249,0.108951758271534
"114",0.731771,0.10274986998542,0.108777988422701
